Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.023057,0.025430,0.022022,0.023525,0.023525,4743394
2017-11-12,0.023562,0.023966,0.019370,0.020563,0.020563,6243782
2017-11-13,0.020895,0.022550,0.020172,0.022128,0.022128,3789282
2017-11-14,0.022119,0.022715,0.021608,0.022250,0.022250,2572983
2017-11-15,0.022153,0.023522,0.021420,0.022445,0.022445,5821423
2017-11-16,0.022562,0.023935,0.021781,0.023417,0.023417,4150221
2017-11-17,0.023045,0.023288,0.021355,0.021854,0.021854,3034741
2017-11-18,0.021705,0.022998,0.020985,0.022360,0.022360,2484991
2017-11-19,0.022253,0.024144,0.021692,0.023932,0.023932,4026459
2017-11-20,0.023990,0.027522,0.023522,0.025206,0.025206,13780164
2017-11-21,0.025210,0.025300,0.023347,0.024132,0.024132,4971712
2017-11-22,0.024190,0.024691,0.023723,0.024166,0.024166,4180193
2017-11-23,0.024158,0.024274,0.023161,0.023161,0.023161,4331420
2017-11-24,0.023130,0.023981,0.022759,0.023790,0.023790,4612196
2017-11-25,0.023742,0.025522,0.023258,0.025522,0.025522,5160486
2017-11-26,0.025513,0.033391,0.025245,0.030462,0.030462,25594953
2017-11-27,0.030702,0.047902,0.030707,0.042501,0.042501,65337110
2017-11-28,0.042529,0.111258,0.040283,0.101067,0.101067,202851114
2017-11-29,0.099793,0.123846,0.068734,0.075698,0.075698,177712616
2017-11-30,0.080097,0.108327,0.080110,0.100759,0.100759,104509161
2017-12-01,0.098018,0.110482,0.094856,0.110482,0.110482,61954412
2017-12-02,0.110718,0.116805,0.108615,0.111322,0.111322,47701741
2017-12-03,0.111322,0.117100,0.105306,0.111173,0.111173,39185982
2017-12-04,0.110953,0.123213,0.106445,0.114494,0.114494,64374066
2017-12-05,0.114288,0.114905,0.107202,0.107767,0.107767,42587574
2017-12-06,0.107141,0.112637,0.096448,0.099830,0.099830,64121315
2017-12-07,0.099768,0.105243,0.089620,0.089620,0.089620,60333503
2017-12-08,0.090165,0.102606,0.084472,0.098151,0.098151,59582115
2017-12-09,0.097539,0.117868,0.096533,0.101674,0.101674,53815539
2017-12-10,0.101831,0.101831,0.085118,0.093721,0.093721,39412425
2017-12-11,0.092570,0.103085,0.092316,0.103085,0.103085,33557452
2017-12-12,0.102910,0.117584,0.097029,0.114037,0.114037,51151350
