Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,3.925206,3.990716,3.861547,3.937227,3.937227,2390909
2014-09-18,3.942583,3.941662,3.546233,3.626620,3.626620,3536853
2014-09-19,3.628214,3.681545,3.306661,3.373691,3.373691,3053828
2014-09-20,3.374805,3.598441,3.275795,3.341472,3.341472,4280215
2014-09-21,3.323254,3.352144,3.239001,3.307049,3.307049,2283059
2014-09-22,3.307057,3.435122,3.276111,3.301440,3.301440,1444327
2014-09-23,3.299603,3.798716,3.253239,3.694404,3.694404,3628323
2014-09-24,3.692559,3.692700,3.603278,3.652779,3.652779,2083821
2014-09-25,3.652067,3.656324,3.492463,3.539514,3.539514,1604829
2014-09-26,3.535814,3.568655,3.447333,3.495971,3.495971,1220904
2014-09-27,3.496602,3.539852,3.467900,3.486674,3.486674,701408
2014-09-28,3.488898,3.514911,3.314495,3.339827,3.339827,1373704
2014-09-29,3.343298,3.415562,3.308456,3.346828,3.346828,1349712
2014-09-30,3.351084,3.601750,3.330914,3.543499,3.543499,1945217
2014-10-01,3.540513,3.571279,3.477288,3.508882,3.508882,928754
2014-10-02,3.510142,3.533750,3.382976,3.411998,3.411998,887955
2014-10-03,3.409393,3.439777,3.327239,3.336093,3.336093,1175605
2014-10-04,3.334503,3.423124,3.106680,3.146784,3.146784,5552385
2014-10-05,3.149876,3.230859,2.781143,2.956474,2.956474,6508696
2014-10-06,2.959599,3.114447,2.853463,3.023309,3.023309,7500340
2014-10-07,3.016159,3.130090,2.928080,3.047410,3.047410,5604486
2014-10-08,3.044914,3.086624,2.962243,3.067418,3.067418,4592512
2014-10-09,3.067991,3.154616,3.046654,3.074533,3.074533,6554851
2014-10-10,3.073114,3.082164,2.989268,3.015516,3.015516,5000546
2014-10-11,3.006431,3.040527,2.912973,2.988009,2.988009,2770925
2014-10-12,2.991114,3.046326,2.927325,3.046388,3.046388,2145811
2014-10-13,3.043310,3.059081,2.991541,3.035991,3.035991,3302445
2014-10-14,3.038145,3.343434,3.038622,3.224357,3.224357,6524690
2014-10-15,3.225212,3.225467,3.154329,3.164134,3.164134,3773151
2014-10-16,3.165164,3.191897,3.093265,3.117152,3.117152,3284293
2014-10-17,3.117582,3.144894,3.098676,3.130258,3.130258,2791628
2014-10-18,3.128972,3.204303,3.100031,3.179243,3.179243,1870455
2014-10-19,3.179768,3.183711,3.115497,3.129562,3.129562,1236733
2014-10-20,3.125349,3.124124,3.039969,3.055748,3.055748,1760758
2014-10-21,3.057288,3.121022,3.049300,3.099442,3.099442,1533071
2014-10-22,3.100181,3.111953,3.029182,3.040361,3.040361,1656673
2014-10-23,3.043248,3.059076,2.944276,2.956479,2.956479,2523346
2014-10-24,2.956352,2.988701,2.944036,2.957798,2.957798,2807979
2014-10-25,2.958745,2.967514,2.864278,2.894673,2.894673,1870900
2014-10-26,2.895777,2.973457,2.889921,2.940576,2.940576,1567329
2014-10-27,2.938114,3.068990,2.925059,2.997410,2.997410,2121343
2014-10-28,3.001315,3.065759,2.985586,3.019604,3.019604,1744524
2014-10-29,3.024951,3.025304,2.944053,2.950637,2.950637,2020030
2014-10-30,2.956615,3.028443,2.947563,3.002744,3.002744,2115673
2014-10-31,3.001785,3.018757,2.977912,2.997445,2.997445,1839588
2014-11-01,2.999569,2.999960,2.841824,2.850998,2.850998,1977180
2014-11-02,2.856020,2.892774,2.838151,2.867851,2.867851,1624990
2014-11-03,2.868499,2.935741,2.847618,2.864510,2.864510,1628773
2014-11-04,2.866400,2.891460,2.825687,2.861732,2.861732,1861302
2014-11-05,2.860577,2.941343,2.860349,2.921255,2.921255,2288643
2014-11-06,2.919083,2.950688,2.898710,2.948425,2.948425,1988811
2014-11-07,2.948513,2.959160,2.854955,2.856866,2.856866,1941062
2014-11-08,2.856288,2.874036,2.836757,2.855975,2.855975,1211227
2014-11-09,2.854835,2.918010,2.848490,2.914494,2.914494,1503876
2014-11-10,2.915056,2.987023,2.881071,2.974350,2.974350,2853561
2014-11-11,2.976668,3.009258,2.943255,2.947078,2.947078,2231989
2014-11-12,2.950156,3.328921,2.950866,3.273482,3.273482,7026422
2014-11-13,3.325279,3.495557,3.221432,3.285488,3.285488,11195478
2014-11-14,3.275737,3.280834,3.098981,3.186143,3.186143,6060099
2014-11-15,3.188451,3.224711,3.042688,3.078293,3.078293,3108194
2014-11-16,3.067798,3.115526,3.055658,3.101693,3.101693,2388827
2014-11-17,3.099241,3.201434,3.076444,3.114910,3.114910,3186938
2014-11-18,3.113070,3.134612,2.996701,3.008426,3.008426,3211650
2014-11-19,3.016246,3.070232,3.005242,3.036736,3.036736,2279710
2014-11-20,3.036338,3.045716,2.861697,2.879565,2.879565,2936406
