Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.176582,0.183877,0.176163,0.180425,0.180425,115324537
2017-11-12,0.180240,0.180240,0.167529,0.169244,0.169244,215415959
2017-11-13,0.169358,0.174982,0.169505,0.174434,0.174434,113664580
2017-11-14,0.174637,0.183160,0.174622,0.177984,0.177984,108033760
2017-11-15,0.177230,0.180460,0.176380,0.180747,0.180747,85124767
2017-11-16,0.180491,0.230839,0.177769,0.192823,0.192823,868211893
2017-11-17,0.190837,0.202923,0.186467,0.192132,0.192132,336700592
2017-11-18,0.192103,0.195369,0.188586,0.193867,0.193867,122359027
2017-11-19,0.193454,0.200315,0.191670,0.196861,0.196861,165153813
2017-11-20,0.197133,0.207545,0.196609,0.203442,0.203442,182909857
2017-11-21,0.202776,0.205381,0.193576,0.198698,0.198698,185563039
2017-11-22,0.198162,0.203798,0.197919,0.202183,0.202183,141423735
2017-11-23,0.202295,0.211069,0.200782,0.204576,0.204576,203126839
2017-11-24,0.204955,0.207078,0.200962,0.205065,0.205065,177272422
2017-11-25,0.204676,0.214334,0.204178,0.211562,0.211562,178200329
2017-11-26,0.211998,0.211998,0.208268,0.208617,0.208617,111760711
2017-11-27,0.208187,0.213648,0.207815,0.213312,0.213312,165267984
2017-11-28,0.213405,0.254058,0.212846,0.252492,0.252492,608324591
2017-11-29,0.251407,0.251449,0.202067,0.205083,0.205083,456613216
2017-11-30,0.207925,0.220509,0.193547,0.210857,0.210857,227691215
2017-12-01,0.210415,0.217704,0.200938,0.215072,0.215072,153917066
2017-12-02,0.215036,0.218032,0.210914,0.214898,0.214898,99461687
2017-12-03,0.214930,0.221273,0.208505,0.213021,0.213021,113621795
2017-12-04,0.213326,0.215150,0.208363,0.213677,0.213677,88185725
2017-12-05,0.213700,0.214065,0.207369,0.208031,0.208031,147583270
2017-12-06,0.207452,0.207767,0.192985,0.197004,0.197004,232570329
2017-12-07,0.197071,0.198051,0.187879,0.189282,0.189282,233779300
2017-12-08,0.189973,0.236866,0.188806,0.214319,0.214319,561179898
2017-12-09,0.214351,0.217344,0.204074,0.208014,0.208014,174506114
2017-12-10,0.208728,0.208728,0.194920,0.201694,0.201694,168415059
2017-12-11,0.201049,0.214327,0.200377,0.213750,0.213750,149554983
2017-12-12,0.214232,0.369921,0.213185,0.318151,0.318151,1324452772
2017-12-13,0.317425,0.437585,0.291984,0.397992,0.397992,2313923569
2017-12-14,0.397641,0.756671,0.393920,0.734044,0.734044,5400628531
2017-12-15,0.731918,0.731980,0.565078,0.643449,0.643449,2718013996
2017-12-16,0.642863,0.694284,0.631099,0.645543,0.645543,1135781184
2017-12-17,0.641699,0.651788,0.612601,0.620255,0.620255,685685089
2017-12-18,0.619974,0.672395,0.586508,0.660619,0.660619,1139540015
2017-12-19,0.659804,0.732617,0.639233,0.668517,0.668517,1224797242
2017-12-20,0.665065,0.664234,0.617255,0.653333,0.653333,848210855
2017-12-21,0.658849,1.041905,0.658738,1.006632,1.006632,3059492028
2017-12-22,0.984230,1.164356,0.625433,0.960007,0.960007,3917264198
2017-12-23,0.983335,1.018892,0.907574,0.990419,0.990419,1263042942
2017-12-24,0.991465,0.991465,0.768513,0.881119,0.881119,637203727
2017-12-25,0.882520,0.950493,0.846457,0.945430,0.945430,577890671
2017-12-26,0.944941,1.004731,0.919036,1.003281,1.003281,791874980
2017-12-27,0.998836,1.234415,0.997250,1.176267,1.176267,2398739363
2017-12-28,1.171435,1.255900,1.056978,1.198492,1.198492,2381522821
2017-12-29,1.205771,1.888254,1.202461,1.846115,1.846115,6290213218
2017-12-30,1.833111,2.379568,1.696541,1.799783,1.799783,6759244655
2017-12-31,1.746499,1.993998,1.559103,1.916822,1.916822,3867755161
2018-01-01,1.913031,1.991032,1.790659,1.991032,1.991032,1577342007
2018-01-02,1.973087,2.063150,1.870003,2.056960,2.056960,2629143560
2018-01-03,2.043031,2.728270,2.027006,2.585654,2.585654,5525295534
2018-01-04,2.595620,3.195226,2.595837,2.649287,2.649287,6716111414
2018-01-05,2.735629,2.957259,2.346267,2.534678,2.534678,5228217679
2018-01-06,2.511681,2.690855,2.485800,2.572306,2.572306,2309245148
2018-01-07,2.571466,2.899277,2.563868,2.806189,2.806189,1989823112
2018-01-08,2.794359,2.794359,1.726590,2.052143,2.052143,2769872090
2018-01-09,2.041491,2.113808,1.659817,1.762203,1.762203,3097761409
2018-01-10,1.785789,1.807342,1.418332,1.651962,1.651962,4043195262
2018-01-11,1.656386,1.866993,1.352483,1.620131,1.620131,5228901095
2018-01-12,1.611560,1.790189,1.548462,1.675603,1.675603,2731515591
2018-01-13,1.682311,1.737494,1.625406,1.657659,1.657659,1746900102
2018-01-14,1.655339,1.655339,1.485846,1.526817,1.526817,1622805631
2018-01-15,1.522765,1.559319,1.357536,1.367085,1.367085,1498948253
2018-01-16,1.368414,1.387183,0.741751,0.961076,0.961076,4635664274
2018-01-17,0.964694,1.129764,0.734154,1.072617,1.072617,5953863404
2018-01-18,1.071993,1.416584,1.029465,1.305142,1.305142,7447429033
2018-01-19,1.293362,1.389048,1.228592,1.270090,1.270090,3025720144
2018-01-20,1.278920,1.332512,1.229738,1.291833,1.291833,1920171784
2018-01-21,1.289877,1.289877,1.094475,1.126012,1.126012,2317844386
2018-01-22,1.135452,1.166811,0.948601,1.107498,1.107498,2156095039
2018-01-23,1.104104,1.168624,0.983551,1.086430,1.086430,2419013622
2018-01-24,1.098659,1.154562,1.063717,1.095271,1.095271,1495795335
2018-01-25,1.100194,1.111607,1.034048,1.059019,1.059019,795793695
2018-01-26,1.056347,1.067133,0.911500,0.980167,0.980167,1640687695
2018-01-27,0.980667,0.998051,0.957758,0.981649,0.981649,554876393
2018-01-28,0.985498,1.158000,0.985498,1.126076,1.126076,1067953979
2018-01-29,1.125762,1.130713,1.048108,1.069443,1.069443,867269790
2018-01-30,1.072843,1.072757,0.911907,0.917602,0.917602,914442295
2018-01-31,0.911235,0.959344,0.835235,0.936203,0.936203,1018065361
2018-02-01,0.934987,0.935996,0.743648,0.769470,0.769470,1127524157
2018-02-02,0.767961,0.768083,0.508596,0.710100,0.710100,2832873194
2018-02-03,0.715884,0.782343,0.611264,0.741608,0.741608,1596276083
2018-02-04,0.733080,0.764805,0.640737,0.655394,0.655394,956901816
2018-02-05,0.663621,0.669879,0.545154,0.559482,0.559482,1040177896
2018-02-06,0.570256,0.634796,0.474675,0.627186,0.627186,1907375368
2018-02-07,0.625718,0.652790,0.570581,0.590020,0.590020,923767205
2018-02-08,0.594386,0.658321,0.589213,0.656821,0.656821,772687608
2018-02-09,0.650196,0.780208,0.629674,0.780208,0.780208,1381786944
2018-02-10,0.774341,1.063182,0.774341,0.875288,0.875288,3827360510
2018-02-11,0.872501,0.878852,0.760048,0.819722,0.819722,2085967412
2018-02-12,0.821633,0.901466,0.821431,0.878941,0.878941,1427994185
2018-02-13,0.877909,0.880789,0.823495,0.831844,0.831844,745769599
2018-02-14,0.830767,0.935523,0.826554,0.915714,0.915714,1169166600
2018-02-15,0.913652,0.932660,0.890672,0.917415,0.917415,950747979
2018-02-16,0.915879,0.920515,0.887957,0.917396,0.917396,458153170
2018-02-17,0.916912,0.981532,0.912954,0.971366,0.971366,956654562
2018-02-18,0.971205,0.973269,0.881386,0.902796,0.902796,897308878
2018-02-19,0.904963,0.939911,0.902916,0.923068,0.923068,448704630
2018-02-20,0.923173,0.950303,0.878588,0.883298,0.883298,654023856
2018-02-21,0.877242,0.888359,0.813289,0.826932,0.826932,709769538
2018-02-22,0.824383,0.853144,0.747777,0.764128,0.764128,721871812
2018-02-23,0.757952,0.834994,0.729247,0.812540,0.812540,729198705
2018-02-24,0.811567,0.824811,0.756086,0.776378,0.776378,398535752
2018-02-25,0.774406,0.787112,0.744553,0.767874,0.767874,293213159
2018-02-26,0.768051,0.789162,0.740857,0.777113,0.777113,372462432
2018-02-27,0.779097,0.789048,0.771788,0.774828,0.774828,255777026
2018-02-28,0.772695,0.781892,0.741295,0.742070,0.742070,270328125
